region_iso,date,population
AR-A,2021-02-24,1406584
AR-A,2021-02-12,1406584
AR-A,2021-02-23,1406584
AR-A,2021-02-13,1406584
AR-A,2021-02-20,1406584
AR-A,2021-02-14,1406584
AR-A,2021-02-06,1406584
AR-B,2021-02-12,17370144
AR-B,2021-02-06,17370144
AR-B,2021-02-13,17370144
AR-B,2021-02-24,17370144
AR-B,2021-02-23,17370144
AR-B,2021-02-20,17370144
AR-B,2021-02-14,17370144
AR-C,2021-02-13,3063728
AR-C,2021-02-20,3063728
AR-C,2021-02-12,3063728
AR-C,2021-02-06,3063728
AR-C,2021-02-24,3063728
AR-C,2021-02-14,3063728
AR-C,2021-02-23,3063728
AR-D,2021-02-12,502000
AR-D,2021-02-13,502000
AR-D,2021-02-14,502000
AR-D,2021-02-23,502000
AR-D,2021-02-20,502000
AR-D,2021-02-06,502000
AR-D,2021-02-24,502000
AR-E,2021-02-24,1373270
AR-E,2021-02-12,1373270
AR-E,2021-02-20,1373270
AR-E,2021-02-06,1373270
AR-E,2021-02-14,1373270
AR-E,2021-02-13,1373270
AR-E,2021-02-23,1373270
AR-F,2021-02-14,388386
AR-F,2021-02-13,388386
AR-F,2021-02-23,388386
AR-F,2021-02-20,388386
AR-F,2021-02-06,388386
AR-F,2021-02-12,388386
AR-F,2021-02-24,388386
AR-G,2021-02-24,968309
AR-G,2021-02-14,968309
AR-G,2021-02-06,968309
AR-G,2021-02-13,968309
AR-G,2021-02-23,968309
AR-G,2021-02-12,968309
AR-G,2021-02-20,968309
AR-H,2021-02-06,1192616
AR-H,2021-02-23,1192616
AR-H,2021-02-13,1192616
AR-H,2021-02-12,1192616
AR-H,2021-02-24,1192616
AR-H,2021-02-20,1192616
AR-H,2021-02-14,1192616
AR-J,2021-02-24,772876
AR-J,2021-02-23,772876
AR-J,2021-02-12,772876
AR-J,2021-02-14,772876
AR-J,2021-02-06,772876
AR-J,2021-02-13,772876
AR-J,2021-02-20,772876
AR-K,2021-02-24,411824
AR-K,2021-02-20,411824
AR-K,2021-02-06,411824
AR-K,2021-02-14,411824
AR-K,2021-02-13,411824
AR-K,2021-02-12,411824
AR-K,2021-02-23,411824
AR-L,2021-02-24,355422
AR-L,2021-02-23,355422
AR-L,2021-02-13,355422
AR-L,2021-02-14,355422
AR-L,2021-02-06,355422
AR-L,2021-02-12,355422
AR-L,2021-02-20,355422
AR-M,2021-02-12,2086000
AR-M,2021-02-23,2086000
AR-M,2021-02-24,2086000
AR-M,2021-02-13,2086000
AR-M,2021-02-20,2086000
AR-M,2021-02-06,2086000
AR-M,2021-02-14,2086000
AR-N,2021-02-06,1247362
AR-N,2021-02-12,1247362
AR-N,2021-02-24,1247362
AR-N,2021-02-20,1247362
AR-N,2021-02-23,1247362
AR-N,2021-02-14,1247362
AR-N,2021-02-13,1247362
AR-P,2021-02-12,600229
AR-P,2021-02-24,600229
AR-P,2021-02-06,600229
AR-P,2021-02-20,600229
AR-P,2021-02-13,600229
AR-P,2021-02-14,600229
AR-P,2021-02-23,600229
AR-Q,2021-02-23,655501
AR-Q,2021-02-13,655501
AR-Q,2021-02-06,655501
AR-Q,2021-02-14,655501
AR-Q,2021-02-12,655501
AR-Q,2021-02-20,655501
AR-Q,2021-02-24,655501
AR-R,2021-02-24,738060
AR-R,2021-02-20,738060
AR-R,2021-02-12,738060
AR-R,2021-02-23,738060
AR-R,2021-02-13,738060
AR-R,2021-02-06,738060
AR-R,2021-02-14,738060
AR-S,2021-02-24,3509113
AR-S,2021-02-20,3509113
AR-S,2021-02-13,3509113
AR-S,2021-02-06,3509113
AR-S,2021-02-12,3509113
AR-S,2021-02-23,3509113
AR-S,2021-02-14,3509113
AR-T,2021-02-20,1674622
AR-T,2021-02-14,1674622
AR-T,2021-02-13,1674622
AR-T,2021-02-12,1674622
AR-T,2021-02-23,1674622
AR-T,2021-02-24,1674622
AR-T,2021-02-06,1674622
AR-U,2021-02-24,618994
AR-U,2021-02-06,618994
AR-U,2021-02-23,618994
AR-U,2021-02-12,618994
AR-U,2021-02-14,618994
AR-U,2021-02-13,618994
AR-U,2021-02-20,618994
AR-V,2021-02-12,169183
AR-V,2021-02-20,169183
AR-V,2021-02-06,169183
AR-V,2021-02-24,169183
AR-V,2021-02-13,169183
AR-V,2021-02-14,169183
AR-V,2021-02-23,169183
AR-W,2021-02-24,1111052
AR-W,2021-02-20,1111052
AR-W,2021-02-13,1111052
AR-W,2021-02-12,1111052
AR-W,2021-02-06,1111052
AR-W,2021-02-14,1111052
AR-W,2021-02-23,1111052
AR-X,2021-02-20,3722332
AR-X,2021-02-06,3722332
AR-X,2021-02-23,3722332
AR-X,2021-02-13,3722332
AR-X,2021-02-12,3722332
AR-X,2021-02-14,3722332
AR-X,2021-02-24,3722332
AR-Y,2021-02-06,762440
AR-Y,2021-02-20,762440
AR-Y,2021-02-23,762440
AR-Y,2021-02-14,762440
AR-Y,2021-02-13,762440
AR-Y,2021-02-12,762440
AR-Y,2021-02-24,762440
AR-Z,2021-02-14,356647
AR-Z,2021-02-24,356647
AR-Z,2021-02-06,356647
AR-Z,2021-02-20,356647
AR-Z,2021-02-23,356647
AR-Z,2021-02-12,356647
AR-Z,2021-02-13,356647
AT-1,2021-02-24,294436
AT-1,2021-02-20,294436
AT-1,2021-02-23,294436
AT-1,2021-02-12,294436
AT-1,2021-02-06,294436
AT-1,2021-02-14,294436
AT-1,2021-02-13,294436
AT-2,2021-02-23,561293
AT-2,2021-02-14,561293
AT-2,2021-02-20,561293
AT-2,2021-02-06,561293
AT-2,2021-02-24,561293
AT-2,2021-02-12,561293
AT-2,2021-02-13,561293
AT-3,2021-02-12,1684287
AT-3,2021-02-23,1684287
AT-3,2021-02-13,1684287
AT-3,2021-02-20,1684287
AT-3,2021-02-06,1684287
AT-3,2021-02-14,1684287
AT-3,2021-02-24,1684287
AT-4,2021-02-20,1490279
AT-4,2021-02-12,1490279
AT-4,2021-02-23,1490279
AT-4,2021-02-13,1490279
AT-4,2021-02-06,1490279
AT-4,2021-02-24,1490279
AT-4,2021-02-14,1490279
AT-5,2021-02-14,558410
AT-5,2021-02-13,558410
AT-5,2021-02-06,558410
AT-5,2021-02-20,558410
AT-5,2021-02-12,558410
AT-5,2021-02-23,558410
AT-5,2021-02-24,558410
AT-6,2021-02-13,1246395
AT-6,2021-02-14,1246395
AT-6,2021-02-20,1246395
AT-6,2021-02-12,1246395
AT-6,2021-02-06,1246395
AT-6,2021-02-23,1246395
AT-6,2021-02-24,1246395
AT-7,2021-02-24,757634
AT-7,2021-02-20,757634
AT-7,2021-02-06,757634
AT-7,2021-02-14,757634
AT-7,2021-02-12,757634
AT-7,2021-02-13,757634
AT-7,2021-02-23,757634
AT-8,2021-02-13,397139
AT-8,2021-02-20,397139
AT-8,2021-02-06,397139
AT-8,2021-02-23,397139
AT-8,2021-02-24,397139
AT-8,2021-02-14,397139
AT-8,2021-02-12,397139
AT-9,2021-02-23,1911191
AT-9,2021-02-20,1911191
AT-9,2021-02-06,1911191
AT-9,2021-02-14,1911191
AT-9,2021-02-12,1911191
AT-9,2021-02-24,1911191
AT-9,2021-02-13,1911191
AU-ACT,2021-02-24,429834
AU-ACT,2021-02-23,429834
AU-NSW,2021-02-23,8157735
AU-NSW,2021-02-24,8157735
AU-NT,2021-02-23,245353
AU-NT,2021-02-24,245353
AU-QLD,2021-02-23,5160023
AU-QLD,2021-02-24,5160023
AU-SA,2021-02-23,1767247
AU-SA,2021-02-24,1767247
AU-TAS,2021-02-23,539590
AU-TAS,2021-02-24,539590
AU-VIC,2021-02-23,6689377
AU-VIC,2021-02-24,6689377
AU-WA,2021-02-24,2656156
AU-WA,2021-02-23,2656156
BE-BRU,2021-02-24,1218255
BE-BRU,2021-02-23,1218255
BE-BRU,2021-02-13,1198726
BE-BRU,2021-02-14,1198726
BE-BRU,2021-02-20,1218255
BE-BRU,2021-02-12,1198726
BE-BRU,2021-02-06,1198726
BE-VLG,2021-02-23,6629143
BE-VLG,2021-02-06,6381859
BE-VLG,2021-02-12,6552967
BE-VLG,2021-02-20,6629143
BE-VLG,2021-02-14,6552967
BE-VLG,2021-02-14,6381859
BE-VLG,2021-02-12,6381859
BE-VLG,2021-02-13,6552967
BE-VLG,2021-02-06,6552967
BE-VLG,2021-02-13,6381859
BE-VLG,2021-02-24,6629143
BE-WAL,2021-02-12,3624377
BE-WAL,2021-02-13,3624377
BE-WAL,2021-02-14,3624377
BE-WAL,2021-02-23,3645243
BE-WAL,2021-02-06,3624377
BE-WAL,2021-02-24,3645243
BE-WAL,2021-02-20,3645243
BG-01,2021-02-20,323522
BG-01,2021-02-24,323522
BG-01,2021-02-06,323522
BG-01,2021-02-14,323522
BG-01,2021-02-13,323522
BG-01,2021-02-12,323522
BG-01,2021-02-23,323522
BG-02,2021-02-24,415817
BG-02,2021-02-14,415817
BG-02,2021-02-13,415817
BG-02,2021-02-12,415817
BG-02,2021-02-23,415817
BG-02,2021-02-06,415817
BG-02,2021-02-20,415817
BG-03,2021-02-20,472654
BG-03,2021-02-12,472654
BG-03,2021-02-23,472654
BG-03,2021-02-13,472654
BG-03,2021-02-06,472654
BG-03,2021-02-14,472654
BG-03,2021-02-24,472654
BG-04,2021-02-13,258494
BG-04,2021-02-20,258494
BG-04,2021-02-23,258494
BG-04,2021-02-12,258494
BG-04,2021-02-24,258494
BG-04,2021-02-14,258494
BG-04,2021-02-06,258494
BG-05,2021-02-12,91235
BG-05,2021-02-20,91235
BG-05,2021-02-23,91235
BG-05,2021-02-13,91235
BG-05,2021-02-06,91235
BG-05,2021-02-14,91235
BG-05,2021-02-24,91235
BG-06,2021-02-13,186848
BG-06,2021-02-24,186848
BG-06,2021-02-20,186848
BG-06,2021-02-06,186848
BG-06,2021-02-12,186848
BG-06,2021-02-23,186848
BG-06,2021-02-14,186848
BG-07,2021-02-14,122702
BG-07,2021-02-24,122702
BG-07,2021-02-06,122702
BG-07,2021-02-20,122702
BG-07,2021-02-23,122702
BG-07,2021-02-12,122702
BG-07,2021-02-13,122702
BG-08,2021-02-13,189677
BG-08,2021-02-23,189677
BG-08,2021-02-12,189677
BG-08,2021-02-06,189677
BG-08,2021-02-24,189677
BG-08,2021-02-20,189677
BG-08,2021-02-14,189677
BG-09,2021-02-24,152808
BG-09,2021-02-23,152808
BG-09,2021-02-14,152808
BG-09,2021-02-06,152808
BG-09,2021-02-13,152808
BG-09,2021-02-12,152808
BG-09,2021-02-20,152808
BG-10,2021-02-24,136686
BG-10,2021-02-23,136686
BG-10,2021-02-06,136686
BG-10,2021-02-12,136686
BG-10,2021-02-14,136686
BG-10,2021-02-13,136686
BG-10,2021-02-20,136686
BG-11,2021-02-12,141422
BG-11,2021-02-23,141422
BG-11,2021-02-14,141422
BG-11,2021-02-13,141422
BG-11,2021-02-06,141422
BG-11,2021-02-24,141422
BG-11,2021-02-20,141422
BG-12,2021-02-24,148098
BG-12,2021-02-06,148098
BG-12,2021-02-20,148098
BG-12,2021-02-14,148098
BG-12,2021-02-23,148098
BG-12,2021-02-13,148098
BG-12,2021-02-12,148098
BG-13,2021-02-23,275548
BG-13,2021-02-13,275548
BG-13,2021-02-20,275548
BG-13,2021-02-12,275548
BG-13,2021-02-14,275548
BG-13,2021-02-24,275548
BG-13,2021-02-06,275548
BG-14,2021-02-24,125456
BG-14,2021-02-14,125456
BG-14,2021-02-20,125456
BG-14,2021-02-13,125456
BG-14,2021-02-12,125456
BG-14,2021-02-06,125456
BG-14,2021-02-23,125456
BG-15,2021-02-14,251986
BG-15,2021-02-13,251986
BG-15,2021-02-20,251986
BG-15,2021-02-12,251986
BG-15,2021-02-06,251986
BG-15,2021-02-24,251986
BG-15,2021-02-23,251986
BG-16,2021-02-24,683027
BG-16,2021-02-06,683027
BG-16,2021-02-23,683027
BG-16,2021-02-12,683027
BG-16,2021-02-14,683027
BG-16,2021-02-13,683027
BG-16,2021-02-20,683027
BG-17,2021-02-23,125190
BG-17,2021-02-13,125190
BG-17,2021-02-14,125190
BG-17,2021-02-06,125190
BG-17,2021-02-12,125190
BG-17,2021-02-24,125190
BG-17,2021-02-20,125190
BG-18,2021-02-12,235252
BG-18,2021-02-20,235252
BG-18,2021-02-24,235252
BG-18,2021-02-13,235252
BG-18,2021-02-14,235252
BG-18,2021-02-23,235252
BG-18,2021-02-06,235252
BG-19,2021-02-12,119474
BG-19,2021-02-06,119474
BG-19,2021-02-23,119474
BG-19,2021-02-13,119474
BG-19,2021-02-14,119474
BG-19,2021-02-20,119474
BG-19,2021-02-24,119474
BG-20,2021-02-06,197473
BG-20,2021-02-14,197473
BG-20,2021-02-12,197473
BG-20,2021-02-23,197473
BG-20,2021-02-24,197473
BG-20,2021-02-13,197473
BG-20,2021-02-20,197473
BG-21,2021-02-24,109425
BG-21,2021-02-23,109425
BG-21,2021-02-06,109425
BG-21,2021-02-14,109425
BG-21,2021-02-12,109425
BG-21,2021-02-20,109425
BG-21,2021-02-13,109425
BG-22,2021-02-14,1291591
BG-22,2021-02-06,1291591
BG-22,2021-02-23,1291591
BG-22,2021-02-20,1291591
BG-22,2021-02-24,1291591
BG-22,2021-02-12,1291591
BG-22,2021-02-13,1291591
BG-23,2021-02-06,247489
BG-23,2021-02-20,247489
BG-23,2021-02-23,247489
BG-23,2021-02-14,247489
BG-23,2021-02-12,247489
BG-23,2021-02-13,247489
BG-23,2021-02-24,247489
BG-24,2021-02-24,333265
BG-24,2021-02-20,333265
BG-24,2021-02-06,333265
BG-24,2021-02-12,333265
BG-24,2021-02-14,333265
BG-24,2021-02-23,333265
BG-24,2021-02-13,333265
BG-25,2021-02-24,115211
BG-25,2021-02-23,115211
BG-25,2021-02-13,115211
BG-25,2021-02-12,115211
BG-25,2021-02-20,115211
BG-25,2021-02-14,115211
BG-25,2021-02-06,115211
BG-26,2021-02-23,246238
BG-26,2021-02-06,246238
BG-26,2021-02-20,246238
BG-26,2021-02-24,246238
BG-26,2021-02-13,246238
BG-26,2021-02-12,246238
BG-26,2021-02-14,246238
BG-27,2021-02-06,180528
BG-28,2021-02-23,123821
BG-28,2021-02-12,123821
BG-28,2021-02-13,123821
BG-28,2021-02-24,123821
BG-28,2021-02-20,123821
BG-28,2021-02-06,123821
BG-28,2021-02-14,123821
BR-AC,2021-02-06,881935
BR-AC,2021-02-24,881935
BR-AC,2021-02-23,881935
BR-AC,2021-02-20,881935
BR-AC,2021-02-14,881935
BR-AC,2021-02-13,881935
BR-AC,2021-02-12,881935
BR-AL,2021-02-23,3322820
BR-AL,2021-02-12,3322820
BR-AL,2021-02-13,3322820
BR-AL,2021-02-20,3322820
BR-AL,2021-02-06,3322820
BR-AL,2021-02-24,3322820
BR-AL,2021-02-14,3322820
BR-AM,2021-02-06,4063614
BR-AM,2021-02-20,4063614
BR-AM,2021-02-13,4063614
BR-AM,2021-02-12,4063614
BR-AM,2021-02-23,4063614
BR-AM,2021-02-24,4063614
BR-AM,2021-02-14,4063614
BR-AP,2021-02-24,797722
BR-AP,2021-02-14,797722
BR-AP,2021-02-12,797722
BR-AP,2021-02-23,797722
BR-AP,2021-02-20,797722
BR-AP,2021-02-06,797722
BR-AP,2021-02-13,797722
BR-BA,2021-02-23,15344447
BR-BA,2021-02-24,15344447
BR-BA,2021-02-20,15344447
BR-BA,2021-02-12,15344447
BR-BA,2021-02-14,15344447
BR-BA,2021-02-13,15344447
BR-BA,2021-02-06,15344447
BR-CE,2021-02-13,9020460
BR-CE,2021-02-24,9020460
BR-CE,2021-02-12,9020460
BR-CE,2021-02-06,9020460
BR-CE,2021-02-14,9020460
BR-CE,2021-02-23,9020460
BR-CE,2021-02-20,9020460
BR-DF,2021-02-24,3039444
BR-DF,2021-02-23,3039444
BR-DF,2021-02-14,3039444
BR-DF,2021-02-12,3039444
BR-DF,2021-02-06,3039444
BR-DF,2021-02-20,3039444
BR-DF,2021-02-13,3039444
BR-ES,2021-02-06,3885049
BR-ES,2021-02-20,3885049
BR-ES,2021-02-12,3885049
BR-ES,2021-02-14,3885049
BR-ES,2021-02-23,3885049
BR-ES,2021-02-24,3885049
BR-ES,2021-02-13,3885049
BR-GO,2021-02-06,6778772
BR-GO,2021-02-24,6778772
BR-GO,2021-02-14,6778772
BR-GO,2021-02-23,6778772
BR-GO,2021-02-12,6778772
BR-GO,2021-02-13,6778772
BR-GO,2021-02-20,6778772
BR-MA,2021-02-06,7000229
BR-MA,2021-02-14,7000229
BR-MA,2021-02-20,7000229
BR-MA,2021-02-12,7000229
BR-MA,2021-02-24,7000229
BR-MA,2021-02-13,7000229
BR-MA,2021-02-23,7000229
BR-MG,2021-02-24,21119536
BR-MG,2021-02-06,21119536
BR-MG,2021-02-12,21119536
BR-MG,2021-02-14,21119536
BR-MG,2021-02-23,21119536
BR-MG,2021-02-20,21119536
BR-MG,2021-02-13,21119536
BR-MS,2021-02-23,2713147
BR-MS,2021-02-06,2713147
BR-MS,2021-02-14,2713147
BR-MS,2021-02-24,2713147
BR-MS,2021-02-13,2713147
BR-MS,2021-02-20,2713147
BR-MS,2021-02-12,2713147
BR-MT,2021-02-23,3344544
BR-MT,2021-02-24,3344544
BR-MT,2021-02-06,3344544
BR-MT,2021-02-14,3344544
BR-MT,2021-02-20,3344544
BR-MT,2021-02-13,3344544
BR-MT,2021-02-12,3344544
BR-PA,2021-02-20,8366628
BR-PA,2021-02-06,8366628
BR-PA,2021-02-13,8366628
BR-PA,2021-02-23,8366628
BR-PA,2021-02-12,8366628
BR-PA,2021-02-14,8366628
BR-PA,2021-02-24,8366628
BR-PB,2021-02-14,4025558
BR-PB,2021-02-06,4025558
BR-PB,2021-02-13,4025558
BR-PB,2021-02-12,4025558
BR-PB,2021-02-20,4025558
BR-PB,2021-02-24,4025558
BR-PB,2021-02-23,4025558
BR-PE,2021-02-23,9473266
BR-PE,2021-02-12,9473266
BR-PE,2021-02-20,9473266
BR-PE,2021-02-13,9473266
BR-PE,2021-02-06,9473266
BR-PE,2021-02-24,9473266
BR-PE,2021-02-14,9473266
BR-PI,2021-02-20,3219257
BR-PI,2021-02-13,3219257
BR-PI,2021-02-06,3219257
BR-PI,2021-02-23,3219257
BR-PI,2021-02-12,3219257
BR-PI,2021-02-14,3219257
BR-PI,2021-02-24,3219257
BR-PR,2021-02-20,11320892
BR-PR,2021-02-24,11320892
BR-PR,2021-02-13,11320892
BR-PR,2021-02-12,11320892
BR-PR,2021-02-23,11320892
BR-PR,2021-02-14,11320892
BR-PR,2021-02-06,11320892
BR-RJ,2021-02-24,16718956
BR-RJ,2021-02-12,16718956
BR-RJ,2021-02-14,16718956
BR-RJ,2021-02-23,16718956
BR-RJ,2021-02-20,16718956
BR-RJ,2021-02-13,16718956
BR-RJ,2021-02-06,16718956
BR-RN,2021-02-23,3507003
BR-RN,2021-02-24,3507003
BR-RN,2021-02-14,3507003
BR-RN,2021-02-12,3507003
BR-RN,2021-02-13,3507003
BR-RN,2021-02-06,3507003
BR-RN,2021-02-20,3507003
BR-RO,2021-02-23,1590011
BR-RO,2021-02-13,1590011
BR-RO,2021-02-12,1590011
BR-RO,2021-02-24,1590011
BR-RO,2021-02-06,1590011
BR-RO,2021-02-20,1590011
BR-RO,2021-02-14,1590011
BR-RR,2021-02-06,1805788
BR-RR,2021-02-23,1805788
BR-RR,2021-02-14,1805788
BR-RR,2021-02-12,1805788
BR-RR,2021-02-13,1805788
BR-RR,2021-02-24,1805788
BR-RR,2021-02-20,1805788
BR-RS,2021-02-13,11322895
BR-RS,2021-02-12,11322895
BR-RS,2021-02-06,11322895
BR-RS,2021-02-23,11322895
BR-RS,2021-02-14,11322895
BR-RS,2021-02-24,11322895
BR-RS,2021-02-20,11322895
BR-SC,2021-02-23,7001161
BR-SC,2021-02-20,7001161
BR-SC,2021-02-14,7001161
BR-SC,2021-02-24,7001161
BR-SC,2021-02-13,7001161
BR-SC,2021-02-06,7001161
BR-SC,2021-02-12,7001161
BR-SE,2021-02-13,2288116
BR-SE,2021-02-24,2288116
BR-SE,2021-02-14,2288116
BR-SE,2021-02-06,2288116
BR-SE,2021-02-20,2288116
BR-SE,2021-02-12,2288116
BR-SE,2021-02-23,2288116
BR-SP,2021-02-24,45595497
BR-SP,2021-02-06,45595497
BR-SP,2021-02-12,45595497
BR-SP,2021-02-23,45595497
BR-SP,2021-02-14,45595497
BR-SP,2021-02-20,45595497
BR-SP,2021-02-13,45595497
BR-TO,2021-02-14,1550194
BR-TO,2021-02-23,1550194
BR-TO,2021-02-13,1550194
BR-TO,2021-02-20,1550194
BR-TO,2021-02-12,1550194
BR-TO,2021-02-06,1550194
BR-TO,2021-02-24,1550194
CA-AB,2021-02-20,4306039
CA-AB,2021-02-13,4306039
CA-AB,2021-02-14,4306039
CA-AB,2021-02-06,4306039
CA-AB,2021-02-12,4306039
CA-AB,2021-02-23,4306039
CA-AB,2021-02-24,4306039
CA-BC,2021-02-06,4841078
CA-BC,2021-02-20,4841078
CA-BC,2021-02-23,4841078
CA-BC,2021-02-14,4841078
CA-BC,2021-02-13,4841078
CA-BC,2021-02-12,4841078
CA-BC,2021-02-24,4841078
CA-MB,2021-02-14,1343371
CA-MB,2021-02-12,1343371
CA-MB,2021-02-06,1343371
CA-MB,2021-02-23,1343371
CA-MB,2021-02-24,1343371
CA-MB,2021-02-13,1343371
CA-MB,2021-02-20,1343371
CA-NB,2021-02-23,760868
CA-NB,2021-02-24,760868
CA-NB,2021-02-12,760868
CA-NB,2021-02-14,760868
CA-NB,2021-02-13,760868
CA-NB,2021-02-06,760868
CA-NB,2021-02-20,760868
CA-NL,2021-02-23,528430
CA-NL,2021-02-24,528430
CA-NL,2021-02-12,528430
CA-NL,2021-02-13,528430
CA-NL,2021-02-06,528430
CA-NL,2021-02-14,528430
CA-NL,2021-02-20,528430
CA-NS,2021-02-23,957600
CA-NS,2021-02-20,957600
CA-NS,2021-02-14,957600
CA-NS,2021-02-06,957600
CA-NS,2021-02-13,957600
CA-NS,2021-02-12,957600
CA-NS,2021-02-24,957600
CA-NT,2021-02-13,44718
CA-NT,2021-02-14,44718
CA-NT,2021-02-20,44718
CA-NT,2021-02-06,44718
CA-NT,2021-02-23,44718
CA-NT,2021-02-12,44718
CA-NT,2021-02-24,44718
CA-NU,2021-02-24,38243
CA-NU,2021-02-06,38243
CA-NU,2021-02-20,38243
CA-NU,2021-02-12,38243
CA-NU,2021-02-13,38243
CA-NU,2021-02-14,38243
CA-NU,2021-02-23,38243
CA-ON,2021-02-14,14279196
CA-ON,2021-02-20,14279196
CA-ON,2021-02-06,14279196
CA-ON,2021-02-13,14279196
CA-ON,2021-02-12,14279196
CA-ON,2021-02-24,14279196
CA-ON,2021-02-23,14279196
CA-PE,2021-02-13,152784
CA-PE,2021-02-06,152784
CA-PE,2021-02-23,152784
CA-PE,2021-02-12,152784
CA-PE,2021-02-14,152784
CA-PE,2021-02-24,152784
CA-PE,2021-02-20,152784
CA-QC,2021-02-23,8604838
CA-QC,2021-02-06,8604838
CA-QC,2021-02-13,8604838
CA-QC,2021-02-20,8604838
CA-QC,2021-02-14,8604838
CA-QC,2021-02-12,8604838
CA-QC,2021-02-24,8604838
CA-SK,2021-02-23,1168057
CA-SK,2021-02-20,1168057
CA-SK,2021-02-14,1168057
CA-SK,2021-02-13,1168057
CA-SK,2021-02-06,1168057
CA-SK,2021-02-24,1168057
CA-SK,2021-02-12,1168057
CA-YT,2021-02-14,42052
CA-YT,2021-02-12,42052
CA-YT,2021-02-23,42052
CA-YT,2021-02-20,42052
CA-YT,2021-02-06,42052
CA-YT,2021-02-13,42052
CA-YT,2021-02-24,42052
CH-AG,2021-02-23,678207
CH-AG,2021-02-24,678207
CH-AG,2021-02-13,678207
CH-AG,2021-02-06,678207
CH-AG,2021-02-20,678207
CH-AG,2021-02-14,678207
CH-AG,2021-02-12,678207
CH-AI,2021-02-24,16145
CH-AI,2021-02-23,16145
CH-AI,2021-02-20,16145
CH-AI,2021-02-14,16145
CH-AI,2021-02-06,16145
CH-AI,2021-02-13,16145
CH-AI,2021-02-12,16145
CH-AR,2021-02-12,55234
CH-AR,2021-02-20,55234
CH-AR,2021-02-13,55234
CH-AR,2021-02-06,55234
CH-AR,2021-02-14,55234
CH-AR,2021-02-24,55234
CH-AR,2021-02-23,55234
CH-BE,2021-02-12,1034977
CH-BE,2021-02-20,1034977
CH-BE,2021-02-24,1034977
CH-BE,2021-02-14,1034977
CH-BE,2021-02-13,1034977
CH-BE,2021-02-06,1034977
CH-BE,2021-02-23,1034977
CH-BL,2021-02-24,288132
CH-BL,2021-02-23,288132
CH-BL,2021-02-12,288132
CH-BL,2021-02-20,288132
CH-BL,2021-02-13,288132
CH-BL,2021-02-14,288132
CH-BL,2021-02-06,288132
CH-BS,2021-02-14,194766
CH-BS,2021-02-13,194766
CH-BS,2021-02-23,194766
CH-BS,2021-02-20,194766
CH-BS,2021-02-24,194766
CH-BS,2021-02-06,194766
CH-BS,2021-02-12,194766
CH-FR,2021-02-24,318714
CH-FR,2021-02-20,318714
CH-FR,2021-02-06,318714
CH-FR,2021-02-23,318714
CH-FR,2021-02-13,318714
CH-FR,2021-02-12,318714
CH-FR,2021-02-14,318714
CH-GE,2021-02-23,499480
CH-GE,2021-02-20,499480
CH-GE,2021-02-06,499480
CH-GE,2021-02-12,499480
CH-GE,2021-02-13,499480
CH-GE,2021-02-14,499480
CH-GE,2021-02-24,499480
CH-GL,2021-02-14,40403
CH-GL,2021-02-23,40403
CH-GL,2021-02-13,40403
CH-GL,2021-02-20,40403
CH-GL,2021-02-24,40403
CH-GL,2021-02-12,40403
CH-GL,2021-02-06,40403
CH-GR,2021-02-14,198379
CH-GR,2021-02-20,198379
CH-GR,2021-02-06,198379
